object_id,canonical_name,main_category,subcategory,district,address,phone,website,rating,reviews,canonical_lat,canonical_lng,google_lat,google_lng,yandex_lat,yandex_lng,dgis_lat,dgis_lng,osm_lat,osm_lng,google_place_id,yandex_object_id,dgis_object_id,osm_id,primary_source,source_url,source_count,coordinate_accuracy,data_confidence,operating_status,verification_status,geometry_type,admin_comment,data_collected_at
SEED002597,,pharmacy,,,,,,,,41.3669,69.2878,,,,,,,41.3669,69.2878,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002598,,pharmacy,,,,,,,,41.3305,69.263,,,,,,,41.3305,69.263,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002599,,pharmacy,,,,,,,,41.3301,69.3757,,,,,,,41.3301,69.3757,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002600,,pharmacy,,,,,,,,41.2893,69.3471,,,,,,,41.2893,69.3471,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002601,,pharmacy,,,,,,,,41.3619,69.1818,,,,,,,41.3619,69.1818,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002602,,pharmacy,,,,,,,,41.3285,69.3433,,,,,,,41.3285,69.3433,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002603,,pharmacy,,,,,,,,41.3079,69.2703,,,,,,,41.3079,69.2703,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002604,,pharmacy,,,,,,,,41.3562,69.2387,,,,,,,41.3562,69.2387,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002605,,pharmacy,,,,,,,,41.1861,69.2299,,,,,,,41.1861,69.2299,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002606,,pharmacy,,,,,,,,41.294,69.0928,,,,,,,41.294,69.0928,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002607,,pharmacy,,,,,,,,41.2942,69.0925,,,,,,,41.2942,69.0925,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002608,,pharmacy,,,,,,,,41.2599,69.2241,,,,,,,41.2599,69.2241,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002609,,pharmacy,,,,,,,,41.2479,69.3014,,,,,,,41.2479,69.3014,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002610,,pharmacy,,,,,,,,41.2479,69.3018,,,,,,,41.2479,69.3018,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002611,,pharmacy,,,,,,,,41.2708,69.212,,,,,,,41.2708,69.212,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002612,,pharmacy,,,,,,,,41.3585,69.3391,,,,,,,41.3585,69.3391,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002613,,pharmacy,,,,,,,,41.3581,69.3398,,,,,,,41.3581,69.3398,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002614,,pharmacy,,,,,,,,41.3583,69.3393,,,,,,,41.3583,69.3393,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002615,,pharmacy,,,,,,,,41.3589,69.3379,,,,,,,41.3589,69.3379,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002616,,pharmacy,,,,,,,,41.2206,69.2204,,,,,,,41.2206,69.2204,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002617,,pharmacy,,,,,,,,41.3775,69.2825,,,,,,,41.3775,69.2825,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002618,,pharmacy,,,,,,,,41.3553,69.3352,,,,,,,41.3553,69.3352,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002619,,pharmacy,,,,,,,,41.3355,69.3538,,,,,,,41.3355,69.3538,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002620,,pharmacy,,,,,,,,41.3928,69.3566,,,,,,,41.3928,69.3566,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002621,,pharmacy,,,,,,,,41.1655,69.3281,,,,,,,41.1655,69.3281,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002622,,pharmacy,,,,,,,,41.3744,69.3048,,,,,,,41.3744,69.3048,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002623,,pharmacy,,,,,,,,41.3491,69.3679,,,,,,,41.3491,69.3679,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002624,,pharmacy,,,,,,,,41.3492,69.368,,,,,,,41.3492,69.368,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002625,,pharmacy,,,,,,,,41.334,69.376,,,,,,,41.334,69.376,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002626,,pharmacy,,,,,,,,41.2958,69.3521,,,,,,,41.2958,69.3521,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002627,,pharmacy,,,,,,,,41.3396,69.3444,,,,,,,41.3396,69.3444,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002628,,pharmacy,,,,,,,,41.3706,69.3106,,,,,,,41.3706,69.3106,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002629,,pharmacy,,,,,,,,41.2456,69.3021,,,,,,,41.2456,69.3021,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002630,,pharmacy,,,,,,,,41.2784,69.1776,,,,,,,41.2784,69.1776,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002631,,pharmacy,,,,,,,,41.2917,69.3401,,,,,,,41.2917,69.3401,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002632,,pharmacy,,,,,,,,41.3538,69.2167,,,,,,,41.3538,69.2167,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002633,,pharmacy,,,,,,,,41.2946,69.174,,,,,,,41.2946,69.174,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002634,,pharmacy,,,,,,,,41.2919,69.2759,,,,,,,41.2919,69.2759,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
