grid_id,latitude,longitude,population_value,source,reference_date,verification_status
POP-00099,41.09668,70.52559,115,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00100,41.08255,70.54066,104,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00101,41.08119,70.52875,32,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00102,41.09098,70.54503,32,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00103,41.08962,70.53313,116,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00104,41.13988,70.62652,112,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00105,41.17358,70.64409,92,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00106,41.16952,70.60831,68,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00107,41.14966,70.64283,259,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00108,41.18095,70.56938,48,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00109,41.16001,70.52484,24,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00110,41.15267,70.59953,232,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00111,41.04557,70.63343,56,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00112,41.08195,70.67479,23,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00113,41.07488,70.68231,28,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00114,41.05429,70.57078,24,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00115,41.0358,70.61715,64,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00116,41.03445,70.60525,108,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00117,41.02031,70.62028,431,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00118,41.02873,70.62466,36,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00119,41.02738,70.61277,232,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00120,41.0388,70.57393,48,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00121,41.03309,70.59335,92,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00122,41.07623,70.69422,36,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00123,41.10856,70.69989,48,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00124,41.11055,70.57761,32,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00125,41.0934,70.63593,32,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00126,41.08768,70.65536,32,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00127,41.10619,70.60897,36,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00128,41.09912,70.6165,20,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00129,41.27827,70.51895,34,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00130,41.22472,70.53603,20,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00131,41.33294,70.58115,176,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00132,41.29487,70.59503,43,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00133,41.28508,70.57869,20,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00134,41.30901,70.57992,40,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00135,41.20457,70.63781,32,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00136,41.2157,70.66608,635,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00137,41.21839,70.68995,72,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00138,41.19644,70.56622,36,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
