grid_id,latitude,longitude,population_value,source,reference_date,verification_status
POP-01299,41.42297,69.33635,394,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01300,41.42148,69.32441,504,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01301,41.43144,69.34057,638,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01302,41.42995,69.32863,1345,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01303,41.41701,69.2886,50,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01304,41.42698,69.30476,1008,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01305,41.42549,69.29282,309,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01306,41.41151,69.30825,1714,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01307,41.41002,69.29632,1400,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01308,41.41999,69.31247,1565,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01309,41.4185,69.30054,881,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01312,41.44691,69.33708,873,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01313,41.44542,69.32514,92,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01315,41.44095,69.28932,45,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01316,41.43545,69.30898,25,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01317,41.43396,69.29704,46,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01318,41.44393,69.3132,118,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01319,41.44244,69.30126,58,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01320,41.41899,69.17768,923,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01321,41.42898,69.19381,1054,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01322,41.42747,69.18188,1805,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01323,41.41351,69.19734,1921,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01324,41.41201,69.18541,2241,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01325,41.422,69.20154,2403,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01326,41.42049,69.18961,1719,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01329,41.44894,69.2261,1544,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01330,41.44744,69.21416,1266,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01333,41.44293,69.17835,746,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01336,41.43746,69.19802,1841,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01337,41.43595,69.18608,433,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01338,41.44594,69.20222,679,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01339,41.44444,69.19029,536,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01340,41.41801,69.23314,451,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01341,41.42799,69.24928,448,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01342,41.42649,69.23735,385,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01343,41.41253,69.2528,646,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01344,41.41103,69.24086,815,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01345,41.42101,69.25701,549,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01346,41.41951,69.24507,431,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01347,41.40654,69.20507,2134,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01348,41.41651,69.2212,635,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01349,41.41502,69.20927,1370,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01350,41.40105,69.22472,1714,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01351,41.39955,69.21279,2005,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01352,41.40953,69.22893,1838,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01353,41.40803,69.217,2365,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01354,41.44196,69.23383,709,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01357,41.43647,69.2535,426,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01358,41.43497,69.24156,22,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01359,41.44495,69.25771,1727,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01360,41.44345,69.24577,1393,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01361,41.43048,69.20575,1979,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01362,41.44046,69.22189,426,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01363,41.43896,69.20996,1486,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01364,41.42499,69.22541,127,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01365,41.4235,69.21348,1516,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01366,41.43348,69.22962,218,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01367,41.43198,69.21769,1033,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
