issue_id,issue_type,duplicate_group_id,object_id_1,object_id_2,distance_m,details,status
QI-32afe6590cbd,Неполная карточка бизнес-центра,,BC-6d423899ca23,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-650d67a91076,Неполная карточка бизнес-центра,,BC-16bef9e7ee96,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-2d5c7f2d8e5b,Неполная карточка бизнес-центра,,BC-8633f220b935,,,"address, website",Открыто
QI-7dd0cda39614,Неполная карточка бизнес-центра,,BC-7d5998228cc1,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-ae02f5f4c56a,Неполная карточка бизнес-центра,,BC-29dd293894cb,,,"address, website",Открыто
QI-312981dc32d5,Неполная карточка бизнес-центра,,BC-e539d6e2ed0c,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-ee56d5543132,Неполная карточка бизнес-центра,,BC-f53f5c4e3c7d,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-72d637f5b53b,Неполная карточка бизнес-центра,,BC-8519691743f2,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-3231a2b11b99,Неполная карточка бизнес-центра,,BC-b49478e5481c,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-27d365f1f461,Неполная карточка бизнес-центра,,BC-7ad5c93b16bd,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-48141edfcdc7,Неполная карточка бизнес-центра,,BC-1af8f896f19d,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-73405ef6abe6,Неполная карточка бизнес-центра,,BC-d9759cbce46d,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-4f20d77311df,Неполная карточка бизнес-центра,,BC-3989ac323dd9,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-215e9d50f692,Неполная карточка бизнес-центра,,BC-980fe3df6202,,,"address, website",Открыто
QI-23a879344155,Неполная карточка бизнес-центра,,BC-ec8e8863246a,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-81e9fa01d92e,Неполная карточка бизнес-центра,,BC-185d7ead26ee,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-6fe3996a9df2,Неполная карточка бизнес-центра,,BC-b1a595b4396a,,,"address, website",Открыто
QI-2d02f9759cce,Неполная карточка бизнес-центра,,BC-a4538981a8f7,,,"address, website",Открыто
QI-52d84e80feb9,Неполная карточка бизнес-центра,,BC-60466f1020d2,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-c07582454ccb,Неполная карточка бизнес-центра,,BC-7df7518602cf,,,"address, website",Открыто
QI-da3b11a99733,Неполная карточка бизнес-центра,,BC-6063bb21085b,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-6b6ad90c902f,Неполная карточка бизнес-центра,,BC-04ad9d615f76,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-60c41d9ed88b,Неполная карточка бизнес-центра,,BC-7ccfbdebc4e0,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-1a0574d3e1ad,Неполная карточка бизнес-центра,,BC-ac8d8a92d2ad,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-4fb5612d05b9,Неполная карточка бизнес-центра,,BC-59b31e3ab96a,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-7bc80fb38002,Неполная карточка бизнес-центра,,BC-f68980818665,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-9e69ca78b2be,Неполная карточка бизнес-центра,,BC-e02abdc23721,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-8f94a5cf01ba,Неполная карточка бизнес-центра,,BC-a27df72e7856,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-5962331a0be3,Неполная карточка бизнес-центра,,BC-6b34a39498d7,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-9428a4c80726,Неполная карточка бизнес-центра,,BC-c9a9815e3507,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-029c49af7fdf,Неполная карточка бизнес-центра,,BC-3acf452dee22,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-c99d1d150dea,Неполная карточка бизнес-центра,,BC-891e3525914c,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-d42f89e99b55,Неполная карточка бизнес-центра,,BC-74adfc95fcd8,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-d9d1ad2c5636,Неполная карточка бизнес-центра,,BC-0f66a24048bf,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-e45cf56dfae2,Неполная карточка бизнес-центра,,BC-edb2bcf76272,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-313a917e7d4f,Неполная карточка бизнес-центра,,BC-df8cf7615442,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f02758bba751,Неполная карточка бизнес-центра,,BC-569e91ebeb18,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-5c4b66ff9639,Неполная карточка бизнес-центра,,BC-31c8c8986bbe,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-ff34d769c2f4,Неполная карточка бизнес-центра,,BC-f410da32f7fb,,,"class, rent_usd_sqm_month, address, website",Открыто
